category_path,title,doc_id,href
股票数据,股票数据,14,https://tushare.pro/document/2?doc_id=14
股票数据/基础数据,基础数据,24,https://tushare.pro/document/2?doc_id=24
股票数据/行情数据,行情数据,15,https://tushare.pro/document/2?doc_id=15
股票数据/行情数据/历史日线,历史日线,27,https://tushare.pro/document/2?doc_id=27
股票数据/行情数据/实时日线,实时日线,372,https://tushare.pro/document/2?doc_id=372
股票数据/行情数据/历史分钟,历史分钟,370,https://tushare.pro/document/2?doc_id=370
股票数据/行情数据/实时分钟,实时分钟,374,https://tushare.pro/document/2?doc_id=374
股票数据/行情数据/周线行情,周线行情,144,https://tushare.pro/document/2?doc_id=144
股票数据/行情数据/月线行情,月线行情,145,https://tushare.pro/document/2?doc_id=145
股票数据/行情数据/复权行情,复权行情,146,https://tushare.pro/document/2?doc_id=146
股票数据/行情数据/周/月线行情(每日更新),周/月线行情(每日更新),336,https://tushare.pro/document/2?doc_id=336
股票数据/行情数据/周/月线复权行情(每日更新),周/月线复权行情(每日更新),365,https://tushare.pro/document/2?doc_id=365
股票数据/行情数据/复权因子,复权因子,28,https://tushare.pro/document/2?doc_id=28
股票数据/行情数据/实时Tick（爬虫）,实时Tick（爬虫）,315,https://tushare.pro/document/2?doc_id=315
股票数据/行情数据/实时成交（爬虫）,实时成交（爬虫）,316,https://tushare.pro/document/2?doc_id=316
股票数据/行情数据/实时排名（爬虫）,实时排名（爬虫）,317,https://tushare.pro/document/2?doc_id=317
股票数据/行情数据/每日指标,每日指标,32,https://tushare.pro/document/2?doc_id=32
股票数据/行情数据/通用行情接口,通用行情接口,109,https://tushare.pro/document/2?doc_id=109
股票数据/行情数据/每日涨跌停价格,每日涨跌停价格,183,https://tushare.pro/document/2?doc_id=183
股票数据/行情数据/每日停复牌信息,每日停复牌信息,214,https://tushare.pro/document/2?doc_id=214
股票数据/行情数据/沪深股通十大成交股,沪深股通十大成交股,48,https://tushare.pro/document/2?doc_id=48
股票数据/行情数据/港股通十大成交股,港股通十大成交股,49,https://tushare.pro/document/2?doc_id=49
股票数据/行情数据/港股通每日成交统计,港股通每日成交统计,196,https://tushare.pro/document/2?doc_id=196
股票数据/行情数据/港股通每月成交统计,港股通每月成交统计,197,https://tushare.pro/document/2?doc_id=197
股票数据/行情数据/备用行情,备用行情,255,https://tushare.pro/document/2?doc_id=255
股票数据/财务数据,财务数据,16,https://tushare.pro/document/2?doc_id=16
股票数据/参考数据,参考数据,17,https://tushare.pro/document/2?doc_id=17
股票数据/特色数据,特色数据,291,https://tushare.pro/document/2?doc_id=291
股票数据/两融及转融通,两融及转融通,330,https://tushare.pro/document/2?doc_id=330
股票数据/资金流向数据,资金流向数据,342,https://tushare.pro/document/2?doc_id=342
股票数据/打板专题数据,打板专题数据,346,https://tushare.pro/document/2?doc_id=346
ETF专题,ETF专题,384,https://tushare.pro/document/2?doc_id=384
指数专题,指数专题,93,https://tushare.pro/document/2?doc_id=93
公募基金,公募基金,18,https://tushare.pro/document/2?doc_id=18
期货数据,期货数据,134,https://tushare.pro/document/2?doc_id=134
现货数据,现货数据,283,https://tushare.pro/document/2?doc_id=283
期权数据,期权数据,157,https://tushare.pro/document/2?doc_id=157
债券专题,债券专题,184,https://tushare.pro/document/2?doc_id=184
外汇数据,外汇数据,177,https://tushare.pro/document/2?doc_id=177
港股数据,港股数据,190,https://tushare.pro/document/2?doc_id=190
美股数据,美股数据,251,https://tushare.pro/document/2?doc_id=251
行业经济,行业经济,82,https://tushare.pro/document/2?doc_id=82
宏观经济,宏观经济,147,https://tushare.pro/document/2?doc_id=147
大模型语料专题数据,大模型语料专题数据,142,https://tushare.pro/document/2?doc_id=142
财富管理,财富管理,263,https://tushare.pro/document/2?doc_id=263
数据索引,数据索引,209,https://tushare.pro/document/2?doc_id=209
社区捐助,社区捐助,244,https://tushare.pro/document/2?doc_id=244
